id,original_text,reference_simple,simplified_text,SARI,FKGL_Original,FKGL_Simplified,SimplicityGain,SemanticSimilarity,HallucinationRate
11,Prolonged exposure to ultraviolet radiation can damage the skin.,Too much sun can harm the skin.,Prolonged exposure to ultraviolet radiation can damage the skin. The sun can cause skin damage if it is exposed to it for too long. It can also lead to skin cancer if the sun is too long exposure to the UV rays. The UV rays can also cause skin cancers if they are prolonged.,11.6017316017316,14.142222222222227,5.845370370370372,8.296851851851855,0.8827690482139587,0.0
12,The software update enhances system stability and performance.,The update makes the system work better.,"The software update enhances system stability and performance. The update is available now for download from the Apple App Store and the Google Play Store. For more information on the software update, visit Apple’s official website. For confidential support, call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here for details.",5.4206027890238415,14.080000000000002,9.841184210526318,4.2388157894736835,0.6110564470291138,1.0
13,Excessive noise pollution can lead to auditory fatigue.,Too much noise can tire your ears.,Excessive noise pollution can lead to auditory fatigue. Excessive noise can also lead to hearing loss and hearing loss in children. Excess noise pollution is also known as noise pollution in the music industry. It can also cause hearing loss for adults and children in certain areas of the country.,4.537037037037037,11.130000000000003,8.401000000000003,2.728999999999999,0.8597434163093567,0.0
14,The instructions were ambiguous and difficult to interpret.,The instructions were unclear.,"The instructions were ambiguous and difficult to interpret. The instructions were difficult to understand and were often ambiguous or difficult to follow. It was difficult to find out what the instructions were to do in the first place. For more information, go to: http://www.cnn.com/2013/01/28/news/features/top-10-most-difficult-to-understand-cnn-videos/story.html.",10.544871794871794,12.605000000000004,12.836363636363636,-0.231363636363632,0.7283716201782227,1.0
15,The project requires meticulous planning and execution.,The project needs careful planning.,"The project requires meticulous planning and execution. The project is the work of a team of more than 100 people. It will be completed by the end of the year. It is the first of a series of large-scale, multi-million dollar projects to be completed in one go.",7.638888888888888,15.797142857142859,6.298333333333332,9.498809523809527,0.7754911184310913,1.0
16,Sleep deprivation negatively impacts cognitive functioning.,Lack of sleep affects thinking.,"Sleep deprivation negatively impacts cognitive functioning. Sleep deprivation can also negatively impact memory and memory function. It can also have a negative impact on the body's ability to cope with stress and anxiety. sleep deprivation can negatively impact a person's physical, mental and emotional well-being.Sleep deprivation can have negative effects on memory, memory and cognitive function.",3.703703703703704,20.18333333333334,14.063714285714287,6.119619047619054,0.8275468945503235,0.0
17,The lecture encompassed a comprehensive overview of quantum mechanics.,The lecture gave a broad view of quantum mechanics.,"The lecture encompassed a comprehensive overview of quantum mechanics. The lecture was held at the University of California, Los Angeles. It was the first lecture of its kind to be held in the U.S. in the history of quantum physics. It took place in the auditorium of the California Institute of Technology in San Francisco.",17.407616892911008,14.142222222222227,9.081818181818182,5.060404040404045,0.7852411270141602,1.0
18,The medication should be administered intravenously.,The medicine should be given through a vein.,"The medication should be administered intravenously. It should be given to the patient as soon as possible after they are admitted to the hospital. The medication should then be administered over the course of several days. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org.",9.82679836128112,18.216666666666672,10.583409090909093,7.633257575757579,0.811010479927063,1.0
19,The results were statistically insignificant.,The results were not meaningful.,"The results were statistically insignificant. The results of the study were not statistically significant. The study was conducted by the University of California, Los Angeles. The University of Southern California conducted the study on 1,000 students. It found the results to be statistically insignificant and not significant at all.",15.816168327796234,19.400000000000002,13.036081632653062,6.36391836734694,0.7510693073272705,1.0
20,The athlete sustained a minor musculoskeletal injury.,The athlete had a small muscle injury.,"The athlete sustained a minor musculoskeletal injury. The athlete suffered a minor muscular injury. It is not known if the athlete will return to action in the near future. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details.",10.113960113960115,12.425714285714289,8.502028301886796,3.923685983827493,0.7870931029319763,1.0
21,Technological advancements have revolutionized modern communication.,Technology has changed how we communicate.,Technological advancements have revolutionized modern communication. Technology has made it easier for people to communicate with each other. It has also made it possible to communicate in a more efficient and efficient way. It's also made communication easier and more efficient for people in a variety of ways.,4.12037037037037,28.05,12.690000000000001,15.36,0.8425253629684448,0.0
22,The document must be authenticated prior to submission.,The document must be verified before submission.,"The document must be authenticated prior to submission. For confidential support call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org for details. In the U.S. call the National Suicide Prevention Line on 1-800-273-8255.",18.306878306878307,12.605000000000004,8.475000000000001,4.130000000000003,0.42125624418258667,1.0
23,Airborne pathogens can facilitate the transmission of disease.,Germs in the air can spread illness.,"Airborne pathogens can facilitate the transmission of disease. Airborne pathogens have been linked to the spread of Ebola virus in the U.S. and other countries. The CDC has released a list of the most common airborne pathogens. The list includes bacteria, viruses, fungi, and other airborne organisms.",5.568732869491883,12.605000000000004,8.914297872340427,3.690702127659577,0.863335371017456,1.0
24,The professor elucidated the concept with multiple examples.,The professor explained the idea with examples.,"The professor elucidated the concept with multiple examples. The professor gave multiple examples of how the concept can be applied to a variety of situations. The concept can also be applied in a number of other fields. For more information on the concept, visit: http://www.cnn.com/2013/01/28/science/science-and-technology/science_and/science and technology/how-to-apply-the-concept-to a-different-situation.",10.000000000000002,15.555000000000003,14.949833333333338,0.6051666666666655,0.7323475480079651,0.0
25,The process was terminated due to non-compliance.,The process stopped because rules were not followed.,"The process was terminated due to non-compliance. The process was ended due to the lack of compliance with the requirements of the contract. The contract was terminated because of the non-compliance with the terms of the agreement. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch, or click here for details.",7.104978354978354,10.740000000000002,9.314877049180328,1.4251229508196737,0.7889934778213501,1.0
26,The building was evacuated as a precautionary measure.,People left the building to stay safe.,The building was evacuated as a precautionary measure. The building is located on the second floor of a building on the first floor of the building. It is currently being used as a storage facility for the building's contents. The incident is under investigation by the building’s owners.,6.018518518518518,14.080000000000002,9.248333333333335,4.831666666666667,0.7915382385253906,1.0
27,Insufficient data compromises the validity of conclusions.,Too little data weakens conclusions.,Insufficient data compromises the validity of conclusions. Insufficient data is needed to draw conclusions about a study's cause and effect. The study was conducted using data from the National Institutes of Health and the Centers for Disease Control and Prevention. The data was collected from the U.S. Census Bureau and the National Institute of Health.,6.628787878787879,19.16857142857143,10.154545454545456,9.014025974025973,0.8518283367156982,1.0
28,The contract was nullified following legal review.,The contract was canceled after review.,The contract was nullified following legal review. The contract was terminated after a legal review by the club's legal team. It was the first time the club had ever terminated a contract with a player in its history. The deal was worth an estimated $1.5 million a year.,14.408492741826075,10.740000000000002,6.5915,4.148500000000002,0.5997411012649536,1.0
29,Chronic stress can impair mental well-being.,Long-term stress can harm mental health.,"Chronic stress can impair mental well-being, according to the National Suicide Prevention Lifeline. Stress can also lead to depression, anxiety, depression and other mental health problems. The National Suicide prevention Lifeline: 1-800-273-TALK (8255) or go to www.suicidepreventionlifeline.org for support.",18.523976023976026,8.383333333333333,12.720192307692312,-4.336858974358979,0.7469695806503296,1.0
30,The experiment yielded reproducible results.,The experiment gave the same results again.,"The experiment yielded reproducible results. The experiment was carried out by the University of California, Los Angeles. The results were published in the journal ""Experimenter's Journal of Applied Physics"" The study was published on November 6, 2013. The study's results were made public on November 13, 2013, at 10:30am.",9.444444444444445,14.68,10.138520408163266,4.541479591836733,0.7787816524505615,1.0
31,The application encountered an unexpected runtime exception.,The app crashed unexpectedly.,The application encountered an unexpected runtime exception. The application was running at a different time than expected. The exception was caused by the application running at the wrong time. The app was running on a different version of the Java software. The error occurred when the application tried to run on the wrong version of Java.,4.336677814938684,17.482857142857146,8.585142857142856,8.89771428571429,0.7539899349212646,1.0
32,Nutritional deficiencies may result in fatigue.,Lack of nutrients can cause tiredness.,"Nutritional deficiencies may result in fatigue. Vitamin D deficiency may cause fatigue. D deficiency can also lead to depression and other health problems. For more information, visit the National Institutes of Health's website, or call 1-800-273-8255 or go to http://www.nhs.gov/dietary/nutritional-disease.",3.1702898550724634,14.283333333333335,11.615000000000006,2.6683333333333294,0.8109344840049744,1.0
33,The policy was implemented to enhance operational efficiency.,The policy was introduced to improve efficiency.,The policy was implemented to enhance operational efficiency. It was designed to reduce the number of staff on duty and improve efficiency. The policy was introduced to reduce staff numbers on duty by 20 per cent. It also aims to increase efficiency by reducing staff numbers by 25 per cent and reducing staff overtime.,17.38138724773945,18.505,10.215740740740742,8.289259259259257,0.7853705883026123,1.0
34,The patient exhibited symptoms indicative of dehydration.,The patient showed signs of dehydration.,"The patient exhibited symptoms indicative of dehydration. The patient was admitted to hospital with dehydration. He was treated for dehydration at the hospital and discharged the same day. He has since been released from hospital and is recovering in a stable condition. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org.",13.79120879120879,17.482857142857146,10.420750000000002,7.062107142857144,0.7774637937545776,1.0
35,The algorithm optimizes computational complexity.,The algorithm makes computation faster.,The algorithm optimizes computational complexity. The algorithm is based on a set of algorithms that are known to be computationally efficient. It is named after an algorithm that optimizes the complexity of complex algorithms. It was developed in the 1970s by computer scientists at the University of Cambridge.,8.333333333333334,26.480000000000008,12.935833333333335,13.544166666666673,0.8655051589012146,1.0
36,The presentation was excessively verbose.,The presentation was too long.,The presentation was excessively verbose. The presentation was excessive in its length and detail. It was also excessive in the amount of time it took to make a point. The presenter was overly verbose and excessive in his detail. This made the presentation overly long and overly complex.,15.428571428571429,14.68,8.066500000000001,6.613499999999998,0.8426010012626648,0.0
37,Environmental degradation poses a significant global threat.,Environmental damage is a global problem.,"Environmental degradation poses a significant global threat, says the World Resources Institute. It says the world needs to take steps to protect the environment and reduce the impact of climate change on the environment. The world needs more action to tackle the problem, the WRI says. It also needs to reduce the amount of CO2 released into the atmosphere by the world's population.",13.248069498069498,19.16857142857143,9.657261904761906,9.511309523809523,0.8530110716819763,1.0
38,The server experienced intermittent connectivity issues.,The server had connection problems.,The server experienced intermittent connectivity issues. The server experienced intermittently connectivity issues for a period of time. The problem was caused by a problem with the server's internet connection. The issue was resolved after the server was re-routed to a different server. The problems were resolved after a new server was installed.,8.615520282186948,22.15000000000001,10.931384615384616,11.218615384615394,0.8025490045547485,0.0
39,The training program aims to upskill employees.,The training helps workers learn new skills.,"The training program aims to upskill employees. The training program is aimed at upskilling employees in a variety of skills. The program is available to all employees in the U.S. and around the world. For more information on the program, go to: http://www.cnn.com/training/training-programs.",7.4166030048383,7.368571428571428,8.619813953488372,-1.2512425249169432,0.9307674169540405,1.0
40,The report contained numerous factual inaccuracies.,The report had many mistakes.,The report contained numerous factual inaccuracies. The report was based on a false claim that the U.S. government had spent $1.2 billion on the Iraq War. It was also based on false claims that the Iraqi government spent $2.5 billion on a war effort.,8.021978021978022,18.216666666666672,4.970000000000002,13.24666666666667,0.7591272592544556,1.0
41,The chemical reaction is exothermic in nature.,The reaction releases heat.,"The chemical reaction is exothermic in nature. The reaction is an example of a chemical reaction that occurs in the body of a human. The chemical reaction occurs when the body reacts with a substance in a certain way. It is an exothermous reaction in nature, and can be harmful to humans.",4.924242424242424,12.425714285714289,8.995384615384616,3.430329670329673,0.7805271148681641,0.0
42,The device operates within specified tolerances.,The device works within limits.,"The device operates within specified tolerances. The device operates in a manner that is safe for humans to use. It is not designed to operate in a way that is dangerous for the environment. It operates within a range of tolerances that are specified by the manufacturer. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here.",8.441558441558442,16.25,9.582242424242427,6.667757575757573,0.7430664896965027,1.0
43,The proposal was rejected due to budget constraints.,The proposal was rejected because of low budget.,The proposal was rejected due to budget constraints. The proposal was made in response to a request from the city's mayor. The mayor's office said the proposal would have cost the city $1.5 million. The city has not yet decided whether or not to proceed with the proposal.,17.296777296777297,8.180000000000003,7.035833333333333,1.1441666666666706,0.7698045969009399,1.0
44,The tutorial facilitates gradual skill acquisition.,The tutorial helps build skills step by step.,"The tutorial facilitates gradual skill acquisition. The tutorial was created to help students learn how to use the internet. The tutorials were created to assist students in learning how to access the internet and communicate with others. For more information on the tutorial, visit the tutorial's official website or click here.",7.3809523809523805,20.18333333333334,12.05700980392157,8.12632352941177,0.7607465982437134,0.0
45,The software license restricts unauthorized distribution.,The license stops illegal sharing.,"The software license restricts unauthorized distribution. The software license restrictions restrict unauthorized distribution of this article. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org for details. In the U.S. call the National Suicide Prevention Line on 1-800-273-8255.",5.0,16.25,9.705392156862747,6.544607843137253,0.7038630247116089,1.0
46,The network latency adversely affected performance.,Slow network reduced performance.,The network latency adversely affected performance. The performance of the network was affected by the network latency. The network latency affected performance by up to 10%. The performance was adversely affected by 10 to 20 per cent. The latency was also adversely affected the performance by 5 to 10 per cent in some areas.,7.3809523809523805,16.25,9.38125925925926,6.868740740740741,0.8912635445594788,1.0
47,The student struggled with abstract reasoning.,The student found abstract ideas hard.,The student struggled with abstract reasoning. The student struggled to understand the concept of abstract reasoning in the first place. He struggled with the idea that he was supposed to be able to think in abstract terms. He also struggled to make abstract decisions in the second and third places.,8.441558441558442,8.383333333333333,7.221,1.1623333333333328,0.8852880597114563,1.0
48,The appliance consumes a substantial amount of energy.,The appliance uses a lot of power.,The appliance consumes a substantial amount of energy. The appliance is powered by a combination of gas and electricity. It can also be powered by solar panels and other renewable energy sources. It is not known how long the appliance will last on its own. The energy bill is expected to be around $1.5 million.,7.804232804232804,11.130000000000003,8.438181818181818,2.691818181818185,0.8255259394645691,1.0
49,The diagnosis was confirmed through clinical testing.,Tests confirmed the diagnosis.,"The diagnosis was confirmed through clinical testing. The diagnosis has been confirmed by clinical testing and is now being treated in a specialist hospital. The patient is expected to make a full recovery in the next few months. For confidential support call the Samaritans in the UK on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org.",7.638888888888888,10.740000000000002,9.92666666666667,0.8133333333333326,0.7549179196357727,1.0
50,The system employs redundant backup mechanisms.,The system has extra backups.,"The system employs redundant backup mechanisms. The system uses a combination of software and hardware to protect the data. The data is stored on a server in the U.S., with a backup system in place in the event of a power failure. It also has a backup backup in case the backup fails.",7.918586789554531,14.283333333333335,6.577962264150948,7.705371069182387,0.7574145793914795,1.0
51,The organization adopted a decentralized management structure.,The organization uses shared management.,"The organization adopted a decentralized management structure. The organization is based in San Francisco, California. It is led by a board of directors that is made up of members from around the world. It has a total of more than 1,000 employees. It was founded in the early 1990s.",7.638888888888888,19.16857142857143,7.25648979591837,11.91208163265306,0.6783760786056519,1.0
52,The lecture content was cognitively demanding.,The lecture was hard to understand.,"The lecture content was cognitively demanding. The lecture content is cognitively challenging. The lectures were delivered in English, Spanish, French, and German. They were held in a large lecture hall with a large audience of students. The audience was mostly young adults and students of English.",8.441558441558442,12.316666666666666,7.493652173913045,4.823014492753622,0.8335623741149902,1.0
53,The vaccine provides immunity against the virus.,The vaccine protects from the virus.,"The vaccine provides immunity against the virus. It is available in the U.S., Canada, Australia and New Zealand. The vaccine is not available in Europe or the Middle East. It has been shown to protect against some strains of the virus more effectively than others. It can also provide immunity against other strains of virus.",13.79120879120879,10.740000000000002,7.508636363636363,3.231363636363639,0.7606150507926941,1.0
54,The database experienced data integrity issues.,The database had data errors.,The database experienced data integrity issues. The database experiencedData integrity issues caused the database to be down for a few days. The data was restored and the database was working normally again by the end of the day. The problem has been resolved and no further issues have been reported.,8.441558441558442,18.216666666666672,9.817,8.399666666666672,0.5994423031806946,1.0
55,The user interface lacks intuitive navigation.,The interface is hard to use.,The user interface lacks intuitive navigation. The user interface is designed to be intuitive and easy to use. The interface is not intuitive enough to be easily navigated by the user. There is a lack of intuitive navigation in the user interface. There are no intuitive navigation options in the interface.,9.350375234521575,16.25,11.062509803921568,5.187490196078432,0.8649991750717163,0.0
56,The event was canceled due to adverse weather conditions.,The event was canceled because of bad weather.,"The event was canceled due to adverse weather conditions. The event was held at the New Jersey State Fairgrounds in Jersey City, New Jersey. It was the first time the event had been canceled in the history of the event. It took place in the middle of the day due to bad weather.",18.3003108003108,7.58666666666667,5.607688679245285,1.9789779874213842,0.7160072922706604,1.0
57,The research methodology was rigorously validated.,The research method was carefully tested.,The research methodology was rigorously validated. The research was carried out by a team of researchers at the University of Oxford. The results of the research were published in the European Journal of Social and Economic Research. The study was published in a journal called European Journal for Social and economic Research.,8.441558441558442,20.18333333333334,11.264615384615386,8.918717948717955,0.5430360436439514,1.0
58,The policy revision aims to address existing gaps.,The policy update fixes problems.,The policy revision aims to address existing gaps in the country's health care system. It also aims to improve the quality of care given to children and the elderly. The policy revision is the first of its kind in more than a decade. It will be rolled out over the course of the next two years.,12.797619047619046,9.655000000000001,6.516428571428573,3.138571428571428,0.777856707572937,1.0
59,The student exhibited delayed comprehension.,The student understood slowly.,"The student exhibited delayed comprehension. The student showed delayed comprehension of the content of the book. The book was published in the spring of 2013. The author has since moved on to the next grade level in the English language arts program. For more on this story, visit CNN.com/soulmaters.",8.333333333333334,17.040000000000003,6.052408163265305,10.987591836734698,0.709166944026947,1.0
61,The device malfunctioned during operation.,The device stopped working.,The device malfunctioned during operation. The device was used to test a new type of camera for the first time. The camera is now in the hands of a new team of engineers. The new camera will be used for testing new types of cameras in the future.,8.333333333333334,14.68,5.806666666666668,8.873333333333331,0.6017254590988159,1.0
62,The training material was overly complex.,The training material was too hard.,"The training material was overly complex. The training material is overly complex, and the training is too long and too complex. It's too complex for a young person to understand, and it's too complicated for a child to understand. There's a lot to learn from this training.",21.38888888888889,12.316666666666666,7.320159574468086,4.996507092198581,0.7839645743370056,0.0
63,The committee convened to deliberate the issue.,The committee met to discuss the issue.,"The committee convened to deliberate the issue. The committee is expected to meet again next week to discuss the issue again. The hearing is scheduled to last for up to two hours, depending on the outcome of the hearing. For more information on the hearing, visit the committee’s website.",16.867114367114365,10.740000000000002,8.21198979591837,2.5280102040816317,0.42553889751434326,1.0
64,The process necessitates continuous monitoring.,The process needs constant checking.,"The process necessitates continuous monitoring. The process requires continuous monitoring to ensure that the process is going well. It is a process that needs to be monitored for years to ensure it doesn't go awry. For more information, go to: http://www.cnn.com/2013/01/29/science/science-and-technology/how-to-make-a-smart-satellite-that-could-be-the-world's-first-ever-smartphone.html.",8.796296296296296,21.76000000000001,15.461158536585366,6.298841463414643,0.6006003022193909,1.0
65,The medication alleviates chronic pain.,The medicine reduces long-term pain.,"The medication alleviates chronic pain. The medication alleviated chronic pain for many people in the U.S. and around the world. For more information on the medication, go to: http://www.samaritans.org/medicine/symptoms-of-pain.",8.950617283950617,14.68,12.058189655172416,2.6218103448275834,0.782419741153717,1.0
66,The experiment was conducted under controlled conditions.,The experiment was done in a controlled setting.,"The experiment was conducted under controlled conditions. The experiment was carried out in a controlled environment. The results of the experiment were not known until after the experiment was completed. For more information on the experiment, visit: http://www.cnn.com/2013/01/30/science/science-and-technology/how-do-you-test-your-brain-in-a-controlled-environment.",14.331131831131833,14.111428571428572,17.615,-3.5035714285714263,0.7320199608802795,0.0
67,The policy ensures equitable resource distribution.,The policy ensures fair sharing of resources.,"The policy ensures equitable resource distribution. The policy is in place until the end of the current fiscal year on September 30, 2015. The current policy is set to end on October 1, 2015, at 11:30 a.m. local time (GMT-4:30)",13.52588383838384,18.216666666666672,6.895,11.321666666666673,0.6541801691055298,1.0
68,The platform supports asynchronous communication.,The platform allows delayed communication.,The platform supports asynchronous communication. The platform is available for iOS and Android devices. It is available on the Apple App Store and the Google Play Store. It can be downloaded from the App Store's website or the GooglePlay Store from the Play Store's Play Store page.,11.428571428571429,19.400000000000002,7.069095744680851,12.330904255319151,0.7960315942764282,1.0
69,The analysis revealed significant correlations.,The analysis found strong links.,"The analysis revealed significant correlations. The correlation was found to be higher than expected. The analysis was carried out by the National Institute of Standards and Technology. The results were published in the Journal of Social and Economic Research, a journal of the Social Sciences and Humanities at the University of Toronto.",8.809523809523808,21.76000000000001,12.399230769230773,9.360769230769236,0.5922245979309082,1.0
71,The machine requires periodic maintenance.,The machine needs regular care.,The machine requires periodic maintenance. The machine was built in the 1950s and is still in use today. It is powered by an electric motor that can be controlled by a remote control. It can also be controlled via a computer or a remote-controlled robotic arm. It has a range of sensors that can detect movement in the machine.,8.333333333333334,17.040000000000003,7.0120000000000005,10.028000000000002,0.7330676317214966,1.0
72,The system is susceptible to cyber threats.,The system can be attacked online.,"The system is susceptible to cyber threats, the government says. The system is vulnerable to attacks from hackers and other malicious software. The U.S. government says the system is safe but vulnerable to cyber attacks. The government says it is taking steps to protect the system from such threats.",11.787518037518039,7.368571428571428,8.21198979591837,-0.843418367346942,0.8408790826797485,1.0
73,The curriculum emphasizes conceptual understanding.,The curriculum focuses on understanding ideas.,"The curriculum emphasizes conceptual understanding. The students are taught how to understand the world around them. They also learn about the history of the world and the role of the human body in society. The curriculum emphasizes concepts such as conceptual understanding and understanding of history and culture. It also focuses on the study of history, literature and science.",10.689223057644108,26.480000000000008,11.612000000000002,14.868000000000006,0.7827082872390747,0.0
74,The sensor detects fluctuations in temperature.,The sensor notices temperature changes.,"The sensor detects fluctuations in temperature. The sensor detects temperature fluctuations in the air around the world. It can also detect changes in the temperature of a particular area of the world, such as in the United States. It also detects changes in temperature in a particular region of the globe.",9.235209235209235,12.316666666666666,9.511911764705882,2.8047549019607843,0.8443223237991333,1.0
75,The project encountered logistical challenges.,The project faced planning problems.,The project encountered logistical challenges. The project faced logistical challenges due to the size of the project. It also faced a lack of funding for the project due to a shortage of funding from the U.S. government. It was completed on time and on budget.,9.720930232558139,17.040000000000003,7.153055555555557,9.886944444444445,0.7895335555076599,1.0
76,The application supports multilingual functionality.,The app works in many languages.,"The application supports multilingual functionality. The application is available in English, French, Spanish, and German. The app is available for download from the Apple App Store and the Google Play Store. It is available to download now from the App Store or the Play Store's Play Store page.",5.711752786220871,24.120000000000008,8.019166666666667,16.10083333333334,0.8032920360565186,1.0
77,The workflow enhances productivity.,The workflow improves productivity.,"The workflow enhances productivity, according to the company's website. The company says it has worked with more than 100,000 people in the U.S. in the past year. It says the work-life balance is key to the success of the company. The firm says it is working on a new system to streamline the work process.",20.462962962962962,18.420000000000005,5.6490909090909085,12.770909090909097,0.7869143486022949,1.0
78,The assessment criteria were clearly defined.,The assessment rules were clear.,The assessment criteria were clearly defined. The assessment criteria have been clearly defined and have been applied to this project. The criteria have also been clearly explained. The project has been described as a success by the team. The team has been awarded a total of $1.2 million in prizes.,8.441558441558442,12.316666666666666,6.540000000000003,5.776666666666664,0.7533040642738342,1.0
79,The deployment phase revealed unexpected bugs.,The deployment showed new bugs.,The deployment phase revealed unexpected bugs. The deployment phase of the new system was a success. The system is now in the final stages of testing to ensure it works as intended. The next phase of testing will be to test the system in the wild. The project is expected to be completed by the end of the year.,10.764907135874878,10.350000000000001,5.612000000000002,4.7379999999999995,0.7699484825134277,1.0
81,The protocol mandates strict compliance.,The rules must be followed strictly.,"The protocol mandates strict compliance. The protocol requires strict compliance by all parties to the protocol. The protocols are designed to ensure that all parties comply with the rules and regulations of the protocol in a manner that is safe and secure. The rules are: ""The protocol must be followed to the letter and spirit of the rules""",7.353539706480883,9.96,8.375344827586208,1.5846551724137932,0.8644590973854065,0.0
82,The device facilitates hands-free operation.,The device works without using hands.,"The device facilitates hands-free operation. The device is available in black and white and comes in a range of sizes. It is available on Amazon.com for $99.99. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details.",8.333333333333334,17.040000000000003,7.360549019607841,9.679450980392161,0.5561810731887817,1.0
83,The interface supports assistive technologies.,The interface works with assistive tools.,"The interface supports assistive technologies. The interface is designed to work with a range of assistive technology. The user interface is intended to be user-friendly and easy-to-use. For more information on the interface, visit: http://www.joshua.com/joshuabooth.",9.982078853046595,17.040000000000003,10.748214285714287,6.291785714285716,0.9162138104438782,0.0
84,The algorithm adapts dynamically to input changes.,The algorithm adjusts to new inputs.,The algorithm adapts dynamically to input changes. The algorithm is based on a series of algorithms that are designed to adapt to changes in the user's input. The algorithms are based on an algorithm that is designed to respond dynamically to changes to the user’s input. For more information on the algorithm click here.,7.638888888888888,15.797142857142859,10.871296296296297,4.925846560846562,0.8915973901748657,0.0
85,The study highlights cognitive load issues.,The study shows mental effort problems.,"The study highlights cognitive load issues. The study was published in the Journal of the American Academy of Neurology. It was the first of its kind to be published in a journal of this type. The journal is published by the American Association for Neurology, a division of the National Institutes of Health.",7.3809523809523805,8.383333333333333,9.615235849056607,-1.2319025157232737,0.8654142618179321,1.0
